seed,n_knapsacks,n_items,alpha,branching_rule,node_selection,best_solution,best_bound,runtime,depth,number_of_left_turns,nodes_explored,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
5,2,5,0.8,critical_element,breadth_first,33,38.8,0.00015091896057128906,0,0,2,True,2,38.0,0.13157894736842105
5,2,5,0.8,profit_per_weight_ratio,breadth_first,33,38.8,0.0001506805419921875,0,0,2,True,2,38.0,0.13157894736842105
5,2,5,0.8,kolasar_rule,breadth_first,33,41.0,0.00016546249389648438,0,0,2,True,2,38.0,0.13157894736842105
5,2,5,0.95,critical_element,greatest_upper_bound,38,38.0,0.0003142356872558594,2,1,4,True,4,38.0,0.0
5,2,5,0.95,profit_per_weight_ratio,greatest_upper_bound,38,38.0,0.0003170967102050781,2,1,4,True,4,38.0,0.0
5,2,5,0.95,kolasar_rule,greatest_upper_bound,38,38.8,0.00023317337036132812,1,1,3,True,3,38.0,0.0
5,2,5,0.95,critical_element,depth_first,38,38.0,0.0004296302795410156,3,1,6,True,6,38.0,0.0
5,2,5,0.95,profit_per_weight_ratio,depth_first,38,38.0,0.00042748451232910156,3,1,6,True,6,38.0,0.0
5,2,5,0.95,kolasar_rule,depth_first,38,38.8,0.0002353191375732422,1,1,3,True,3,38.0,0.0
5,2,5,0.95,critical_element,breadth_first,38,38.0,0.0004017353057861328,4,1,6,True,6,38.0,0.0
5,2,5,0.95,profit_per_weight_ratio,breadth_first,38,38.0,0.0004036426544189453,4,1,6,True,6,38.0,0.0
5,2,5,0.95,kolasar_rule,breadth_first,38,38.8,0.00022864341735839844,1,1,3,True,3,38.0,0.0
5,2,5,0.97,critical_element,greatest_upper_bound,38,38.0,0.00030875205993652344,2,1,4,True,4,38.0,0.0
5,2,5,0.97,profit_per_weight_ratio,greatest_upper_bound,38,38.0,0.0003101825714111328,2,1,4,True,4,38.0,0.0
5,2,5,0.97,kolasar_rule,greatest_upper_bound,38,38.8,0.00022745132446289062,1,1,3,True,3,38.0,0.0
5,2,5,0.97,critical_element,depth_first,38,38.0,0.000415802001953125,3,1,6,True,6,38.0,0.0
5,2,5,0.97,profit_per_weight_ratio,depth_first,38,38.0,0.00042247772216796875,3,1,6,True,6,38.0,0.0
