seed,n_machines,n_jobs,epsilon,branching_rule,node_selection,rounding_rule,lower_bound,best_solution,runtime,depth,nodes_explored,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
4,2,5,0.1,max_min_proc,lowest_lower_bound,best_matching,bin_search,106,0.0320677757263184,0,2,True,2,106,0
4,2,5,0.1,max_min_proc,lowest_lower_bound,all_to_shortest,bin_search,106,0.0321369171142578,0,2,True,2,106,0
4,2,5,0.1,max_min_proc,depth_first,best_matching,lin_relax,106,0.00507593154907227,0,2,True,2,106,0
4,2,5,0.1,max_min_proc,depth_first,all_to_shortest,lin_relax,106,0.00501680374145508,0,2,True,2,106,0
4,2,5,0.1,max_min_proc,depth_first,best_matching,bin_search,106,0.0320441722869873,0,2,True,2,106,0
4,2,5,0.1,max_min_proc,depth_first,all_to_shortest,bin_search,106,0.032200813293457,0,2,True,2,106,0
4,2,5,0.1,max_min_proc,breadth_first,best_matching,lin_relax,106,0.00514006614685059,0,2,True,2,106,0
4,2,5,0.1,max_min_proc,breadth_first,all_to_shortest,lin_relax,106,0.00503277778625488,0,2,True,2,106,0
4,2,5,0.1,max_min_proc,breadth_first,best_matching,bin_search,106,0.0321450233459473,0,2,True,2,106,0
4,2,5,0.1,max_min_proc,breadth_first,all_to_shortest,bin_search,106,0.0321085453033447,0,2,True,2,106,0
4,2,5,0.05,max_min_proc,lowest_lower_bound,best_matching,lin_relax,106,0.00822877883911133,1,3,True,2,106,0
